id,state,county,count,topTen,topOnePercent,topTenPercent
35017,nm,Grant County,1,false,false,true,
13237,ga,Putnam County,1,false,false,true,
48203,tx,Harrison County,1,false,false,true,
13233,ga,Polk County,1,false,false,true,
37001,nc,Alamance County,1,false,false,true,
51683,va,Manassas city,1,false,false,true,
48199,tx,Hardin County,1,false,false,true,
13219,ga,Oconee County,1,false,false,true,
48193,tx,Hamilton County,1,false,false,true,
51710,va,Norfolk city,1,false,false,true,
37021,nc,Buncombe County,1,false,false,true,
13217,ga,Newton County,1,false,false,false,
37025,nc,Cabarrus County,1,false,false,false,
13211,ga,Morgan County,1,false,false,false,
37035,nc,Catawba County,1,false,false,false,
13175,ga,Laurens County,1,false,false,false,
37045,nc,Cleveland County,1,false,false,false,
51790,va,Staunton city,1,false,false,false,
48161,tx,Freestone County,1,false,false,false,
13169,ga,Jones County,1,false,false,false,
37051,nc,Cumberland County,1,false,false,false,
51830,va,Williamsburg city,1,false,false,false,
37057,nc,Davidson County,1,false,false,false,
53005,wa,Benton County,1,false,false,false,
48139,tx,Ellis County,1,false,false,false,
53011,wa,Clark County,1,false,false,false,
48135,tx,Ector County,1,false,false,false,
53033,wa,King County,1,false,false,false,
37061,nc,Duplin County,1,false,false,false,
13153,ga,Houston County,1,false,false,false,
48115,tx,Dawson County,1,false,false,false,
56041,wy,Uinta County,1,false,false,false,
37065,nc,Edgecombe County,1,false,false,false,
13139,ga,Hall County,1,false,false,false,
48099,tx,Coryell County,1,false,false,false,
13127,ga,Glynn County,1,false,false,false,
37079,nc,Greene County,1,false,false,false,
1069,al,Houston County,1,false,false,false,
37083,nc,Halifax County,1,false,false,false,
13097,ga,Douglas County,1,false,false,false,
48077,tx,Clay County,1,false,false,false,
13089,ga,DeKalb County,1,false,false,false,
37097,nc,Iredell County,1,false,false,false,
5115,ar,Pope County,1,false,false,false,
48071,tx,Chambers County,1,false,false,false,
5029,ar,Conway County,1,false,false,false,
37111,nc,McDowell County,1,false,false,false,
13087,ga,Decatur County,1,false,false,false,
48055,tx,Caldwell County,1,false,false,false,
13047,ga,Catoosa County,1,false,false,false,
48049,tx,Brown County,1,false,false,false,
6073,ca,San Diego County,1,false,false,false,
37117,nc,Martin County,1,false,false,false,
5125,ar,Saline County,1,false,false,false,
37131,nc,Northampton County,1,false,false,false,
13027,ga,Brooks County,1,false,false,false,
37161,nc,Rutherford County,1,false,false,false,
13023,ga,Bleckley County,1,false,false,false,
37179,nc,Union County,1,false,false,false,
6001,ca,Alameda County,1,false,false,false,
37197,nc,Yadkin County,1,false,false,false,
5097,ar,Montgomery County,1,false,false,false,
48025,tx,Bee County,1,false,false,false,
5001,ar,Arkansas County,1,false,false,false,
48021,tx,Bastrop County,1,false,false,false,
13019,ga,Berrien County,1,false,false,false,
48019,tx,Bandera County,1,false,false,false,
5091,ar,Miller County,1,false,false,false,
48017,tx,Bailey County,1,false,false,false,
1087,al,Macon County,1,false,false,false,
48013,tx,Atascosa County,1,false,false,false,
13015,ga,Bartow County,1,false,false,false,
48007,tx,Aransas County,1,false,false,false,
12129,fl,Wakulla County,1,false,false,false,
39013,oh,Belmont County,1,false,false,false,
12117,fl,Seminole County,1,false,false,false,
47183,tn,Weakley County,1,false,false,false,
6047,ca,Merced County,1,false,false,false,
39017,oh,Butler County,1,false,false,false,
5079,ar,Lincoln County,1,false,false,false,
47087,tn,Jackson County,1,false,false,false,
12111,fl,St. Lucie County,1,false,false,false,
47037,tn,Davidson County,1,false,false,false,
12091,fl,Okaloosa County,1,false,false,false,
47003,tn,Bedford County,1,false,false,false,
5099,ar,Nevada County,1,false,false,false,
39057,oh,Greene County,1,false,false,false,
4027,az,Yuma County,1,false,false,false,
46081,sd,Lawrence County,1,false,false,false,
12087,fl,Monroe County,1,false,false,false,
39089,oh,Licking County,1,false,false,false,
5141,ar,Van Buren County,1,false,false,false,
45089,sc,Williamsburg County,1,false,false,false,
8001,co,Adams County,1,false,false,false,
39133,oh,Portage County,1,false,false,false,
12085,fl,Martin County,1,false,false,false,
39135,oh,Preble County,1,false,false,false,
12081,fl,Manatee County,1,false,false,false,
45075,sc,Orangeburg County,1,false,false,false,
5145,ar,White County,1,false,false,false,
39165,oh,Warren County,1,false,false,false,
5033,ar,Crawford County,1,false,false,false,
45057,sc,Lancaster County,1,false,false,false,
6067,ca,Sacramento County,1,false,false,false,
39169,oh,Wayne County,1,false,false,false,
12079,fl,Madison County,1,false,false,false,
45051,sc,Horry County,1,false,false,false,
12073,fl,Leon County,1,false,false,false,
39173,oh,Wood County,1,false,false,false,
5071,ar,Johnson County,1,false,false,false,
45043,sc,Georgetown County,1,false,false,false,
6113,ca,Yolo County,1,false,false,false,
45037,sc,Edgefield County,1,false,false,false,
12071,fl,Lee County,1,false,false,false,
40009,ok,Beckham County,1,false,false,false,
6075,ca,San Francisco County,1,false,false,false,
40029,ok,Coal County,1,false,false,false,
5069,ar,Jefferson County,1,false,false,false,
45017,sc,Calhoun County,1,false,false,false,
6071,ca,San Bernardino County,1,false,false,false,
45015,sc,Berkeley County,1,false,false,false,
12065,fl,Jefferson County,1,false,false,false,
40037,ok,Creek County,1,false,false,false,
12053,fl,Hernando County,1,false,false,false,
40049,ok,Garvin County,1,false,false,false,
1055,al,Etowah County,1,false,false,false,
40055,ok,Greer County,1,false,false,false,
5003,ar,Ashley County,1,false,false,false,
42101,pa,Philadelphia County,1,false,false,false,
12019,fl,Clay County,1,false,false,false,
42091,pa,Montgomery County,1,false,false,false,
1067,al,Henry County,1,false,false,false,
42043,pa,Dauphin County,1,false,false,false,
6081,ca,San Mateo County,1,false,false,false,
41065,or,Wasco County,1,false,false,false,
1115,al,St. Clair County,1,false,false,false,
41047,or,Marion County,1,false,false,false,
9011,ct,New London County,1,false,false,false,
40065,ok,Jackson County,1,false,false,false,
10005,de,Sussex County,1,false,false,false,
40141,ok,Tillman County,1,false,false,false,
5059,ar,Hot Spring County,1,false,false,false,
40087,ok,McClain County,1,false,false,false,
6021,ca,Glenn County,1,false,false,false,
40089,ok,McCurtain County,1,false,false,false,
1043,al,Cullman County,1,false,false,false,
40133,ok,Seminole County,1,false,false,false,
1033,al,Colbert County,1,false,false,false,
40129,ok,Roger Mills County,1,false,false,false,
1109,al,Pike County,1,false,false,false,
40097,ok,Mayes County,1,false,false,false,
1045,al,Dale County,1,false,false,false,
40121,ok,Pittsburg County,1,false,false,false,
1053,al,Escambia County,1,false,false,false,
40119,ok,Payne County,1,false,false,false,
4015,az,Mohave County,1,false,false,false,
40115,ok,Ottawa County,1,false,false,false,
1083,al,Limestone County,1,false,false,false,
48459,tx,Upshur County,1,false,false,false,
